"Name","Source","ReleaseDate","Playtime","IsInstalled"
"Farming Simulator 19","Xbox","20/11/2018","1680","False"
"Unturned","Steam","7/07/2017","0","False"
"Exo One","Xbox","18/11/2021","1200","False"
"Worms W.M.D","Xbox","23/08/2016","300","False"
"Century: Age of Ashes","Xbox","10/03/2022","1140","False"
"Enlisted","Xbox","8/04/2021","8340","False"
"Watch Dogs: Legion","Xbox","29/10/2020","75840","False"
"KillingFloor2Beta","Epic","18/11/2016","0","False"
"Amnesia: Rebirth","Epic","20/10/2020","0","False"
"Secret Neighbor","Xbox","23/10/2019","540","False"
"Assassin's Creed Origins","Xbox","27/10/2017","3060","False"
"Kingdom Wars","Steam","1/04/2013","8100","False"
"Batman: Arkham Knight","Steam","23/06/2015","116160","False"
"Creativerse","Steam","8/05/2017","780","False"
"Disney Magic Kingdoms: Build Your Own Magical Park","Xbox","17/03/2016","0","False"
"Rise of the Tomb Raider: 20 Year Celebration","Epic","18/10/2011","0","False"
"DOOM (1993)","Xbox","26/07/2019","5520","False"
"Virtual Cottage","Steam","7/10/2020","60","False"
"Neos VR","Steam","4/05/2018","0","False"
"Spelunky 2","Xbox","13/01/2022","0","False"
"Jurassic World Evolution","Xbox","12/06/2018","780","False"
"Metagroove","Steam",,"1140","False"
"Fantasynth One","Steam","20/04/2017","480","False"
"Idle Champions of the Forgotten Realms","Epic","11/12/2018","1587","True"
"Goat Simulator Windows 10","Xbox","25/10/2018","900","False"
"Unrailed","Epic",,"0","False"
"LEGO Marvel Super Heroes","Xbox","22/11/2013","0","False"
"Kick Buddy Forever","Xbox","14/06/2019","0","False"
"Cuphead","Steam","29/09/2017","16320","True"
"Anyland","Steam","6/10/2016","0","False"
"BLACK","Xbox","28/02/2006","0","False"
"Race with Ryan","Xbox","1/11/2019","60","False"
"Forza Horizon 2","Xbox","30/09/2014","38820","False"
"Leaf Blower Revolution - Idle Game","Steam","4/12/2020","1500","False"
"PAYDAY 2: CRIMEWAVE EDITION","Xbox","16/06/2015","18480","False"
"Neon Abyss","Xbox","14/07/2020","1680","False"
"Wreckfest","Xbox","18/02/2021","3540","False"
"Gorilla Tag","Steam","12/02/2021","60","False"
"Wreckfest","Xbox","27/08/2019","8160","False"
"Tom Clancy's Rainbow Six Siege","Xbox","1/12/2015","22380","False"
"Crackdown 2","Xbox","4/01/2011","0","False"
"Surgeon Simulator 2","Xbox","2/09/2021","5460","False"
"Hundred Days - Winemaking Simulator","Epic",,"0","False"
"Unbox: Newbie's Adventure","Xbox","26/07/2017","1320","False"
"Magic The Gathering Arena","Epic","26/09/2019","10586","True"
"The Captain","Epic","22/10/2020","0","False"
"CS:GO Player Profiles: Hiko - Team Liquid","Steam",,"0","False"
"Account Creation Tool","Xbox",,"0","False"
"Cooking Simulator","Xbox","14/08/2020","600","False"
"Brave","Epic",,"0","False"
"Quake","Xbox","19/08/2021","420","False"
"itch.io","Epic",,"0","True"
"CS:GO Player Profiles: Edward - Na'Vi","Steam",,"0","False"
"Trials HD","Xbox","21/06/2010","0","False"
"Hollow Knight: Voidheart Edition","Xbox","25/09/2018","1320","False"
"Shenmue 3","Epic","19/11/2019","0","False"
"Splitgate","Steam",,"8880","False"
"Portal 2","Xbox","10/07/2012","0","False"
"Watch Dogs2","Xbox","15/11/2016","0","False"
"SYMMETRY alpha","Steam",,"0","False"
"CS:GO Player Profiles: Happy - Team EnVyUs","Steam",,"0","False"
"Train Sim World 2","Xbox","20/08/2020","15060","False"
"Disney Infinity","Xbox","18/08/2013","0","False"
"Streets of Rage 4","Xbox","30/04/2020","360","False"
"VeeR VR","Steam",,"0","False"
"Cricket 22","Xbox","2/12/2021","420","False"
"Just Cause 4","Xbox","4/12/2018","92820","False"
"Kodu","Xbox","5/12/2013","0","False"
"Music Maker Steam Edition","Steam",,"8580","False"
"Centipede Recharged","Epic","29/09/2021","0","False"
"Century: Age of Ashes","Steam","2/12/2021","0","False"
"Splitgate","Xbox","13/07/2021","74640","False"
"Bless Unleashed","Xbox","12/03/2020","19980","False"
"BeamNG.drive","Steam","5/04/2015","134640","False"
"Saints Row The Third Remastered","Epic","22/05/2020","69669","False"
